n,r3
1494,600
1495,0
1496,336
1497,240
1498,192
1499,312
1500,0
1501,288
1502,288
1503,0
1504,96
1505,480
1506,288
1507,96
1508,192
1509,480
1510,192
1511,0
1512,192
1513,192
1514,600
1515,288
1516,72
1517,576
1518,288
1519,0
1520,0
1521,390
1522,240
1523,168
1524,240
1525,360
1526,576
1527,0
1528,96
1529,624
1530,432
1531,264
1532,0
1533,288
1534,240
1535,0
1536,24
1537,192
1538,528
1539,408
1540,96
1541,432
1542,240
1543,0
1544,240
1545,288
1546,408
1547,288
1548,120
1549,216
1550,672
1551,0
1552,48
1553,480
1554,288
1555,96
1556,264
1557,504
1558,144
1559,0
1560,192
1561,384
1562,336
1563,144
1564,0
1565,336
1566,576
1567,0
1568,108
1569,336
1570,240
1571,408
1572,144
1573,264
1574,648
1575,0
1576,120
1577,336
1578,192
1579,216
1580,192
1581,480
1582,192
1583,0
1584,72
1585,288
1586,528
1587,200
1588,72
1589,624
1590,384
1591,0
1592,240
1593,192
1594,408
1595,384
1596,0
1597,168
1598,384
1599,0
1600,30
1601,672
1602,480
1603,144
1604,240
1605,192
1606,336
1607,0
1608,192
1609,336
1610,384
1611,360
1612,48
1613,504
1614,336
1615,0
1616,168
1617,336
1618,144
1619,360
1620,216
1621,216
1622,360
1623,0
1624,192
1625,576
1626,240
1627,168
1628,0
1629,600
1630,336
1631,0
1632,48
1633,192
1634,768
1635,192
1636,192
1637,456
1638,432
1639,0
1640,192
1641,528
1642,168
1643,240
1644,144
1645,192
1646,528
1647,0
1648,0
1649,576
1650,480
1651,192
1652,240
1653,192
1654,264
1655,0
1656,240
1657,192
1658,504
1659,192
1660,0
1661,576
1662,240
1663,0
1664,72
1665,576
1666,336
1667,312
1668,144
1669,312
1670,336
1671,0
1672,96
1673,384
1674,576
1675,168
1676,216
1677,192
1678,240
1679,0
1680,96
1681,246
1682,372
1683,240
1684,120
1685,624
1686,528
1687,0
1688,120
1689,432
1690,312
1691,432
1692,0
1693,264
1694,624
1695,0
1696,72
1697,336
1698,192
1699,264
1700,336
1701,624
1702,240
1703,0
1704,288
1705,192
1706,696
1707,240
1708,48
1709,504
1710,240
1711,0
1712,72
1713,432
1714,240
1715,384
1716,192
1717,192
1718,552
1719,0
1720,144
1721,624
1722,288
1723,120
1724,0
1725,480
1726,288
1727,0
1728,32
1729,288
1730,432
1731,192
1732,144
1733,408
1734,456
1735,0
1736,288
1737,240
1738,192
1739,480
1740,96
1741,312
1742,528
1743,0
1744,72
1745,480
1746,720
1747,120
1748,240
1749,480
1750,288
1751,0
1752,96
1753,240
1754,456
1755,384
1756,0
1757,336
1758,240
1759,0
1760,144
1761,240
1762,288
1763,288
1764,270
1765,240
1766,600
1767,0
1768,96
1769,768
1770,480
1771,192
1772,120
1773,360
1774,240
1775,0
1776,0
1777,288
1778,480
1779,240
1780,96
1781,816
1782,408
1783,0
1784,384
1785,384
1786,240
1787,168
1788,0
1789,312
1790,624
1791,0
1792,0
1793,432
1794,384
1795,192
1796,240
1797,288
1798,240
1799,0
1800,252
1801,336
1802,384
1803,192
1804,144
1805,504
1806,480
1807,0
1808,96
1809,576
1810,240
1811,552
1812,144
1813,216
1814,552
1815,0
1816,168
1817,480
1818,360
1819,240
1820,0
1821,432
1822,192
1823,0
1824,96
1825,336
1826,672
1827,288
1828,96
1829,480
1830,288
1831,0
1832,312
1833,288
1834,432
1835,240
1836,192
1837,288
1838,336
1839,0
1840,48
1841,480
1842,192
1843,144
1844,360
1845,480
1846,336
1847,0
1848,96
1849,270
1850,600
1851,336
1852,0
1853,432
1854,720
1855,0
1856,72
1857,240
1858,240
1859,360
1860,192
1861,456
1862,504
1863,0
1864,96
1865,576
1866,384
1867,120
1868,168
1869,480
1870,192
1871,0
1872,120
1873,144
1874,672
1875,296
1876,192
1877,408
1878,288
1879,0
1880,240
1881,720
1882,216
1883,336
1884,0
1885,192
1886,768
1887,0
1888,72
1889,864
1890,384
1891,240
1892,144
1893,240
1894,360
1895,0
1896,240
1897,192
1898,336
1899,360
1900,120
1901,504
1902,432
1903,0
1904,0
1905,288
1906,240
1907,312
1908,216
1909,336
1910,672
1911,0
1912,96
1913,432
1914,576
1915,144
1916,0
1917,384
1918,192
1919,0
1920,48
1921,480
1922,396
1923,240
1924,192
1925,672
1926,360
1927,0
1928,240
1929,336
1930,240
1931,504
1932,96
1933,216
1934,624
1935,0
1936,78
1937,576
1938,384
1939,192
1940,240
1941,288
1942,264
1943,0
1944,312
1945,192
1946,816
1947,192
1948,0
1949,840
1950,336
1951,0
1952,120
1953,480
1954,336
1955,288
1956,240
1957,192
1958,384
1959,0
1960,168
1961,384
1962,360
1963,144
1964,216
1965,480
1966,432
1967,0
1968,48
1969,240
1970,624
1971,384
1972,144
1973,504
1974,384
1975,0
1976,336
1977,432
1978,144
1979,552
1980,0
1981,240
1982,288
1983,0
1984,0
1985,480
1986,576
1987,168
1988,288
1989,576
1990,288
1991,0
1992,96
1993,288
1994,648
1995,192
1996,72
1997,504
1998,576
1999,0
2000,144
2001,576
2002,192
2003,216
2004,192
2005,384
2006,576
2007,0
2008,168
2009,672
2010,384
2011,168
2012,0
2013,192
2014,432
2015,0
2016,144
2017,144
2018,336
2019,384
2020,96
2021,816
2022,288
2023,0
2024,336
2025,510
2026,408
2027,264
2028,104
2029,408
2030,480
2031,0
2032,0
2033,336
2034,480
2035,192
2036,360
2037,288
2038,216
2039,0
2040,192
2041,384
2042,600
2043,360
2044,0
2045,576
2046,384
2047,0
2048,12
2049,432
2050,336
2051,432
2052,192
2053,216
2054,864
2055,0
2056,192
2057,528
2058,384
2059,192
2060,144
2061,600
2062,144
2063,0
2064,144
2065,288
2066,672
2067,192
2068,144
2069,456
2070,720
2071,0
2072,192
2073,240
2074,240
2075,504
2076,0
2077,192
2078,480
2079,0
2080,48
2081,720
2082,288
2083,168
2084,384
2085,384
2086,288
2087,0
2088,120
2089,528
2090,576
2091,288
2092,120
2093,480
2094,336
2095,0
2096,120
2097,432
2098,288
2099,456
2100,240
2101,240
2102,312
2103,0
2104,144
2105,576
2106,648
2107,216
2108,0
2109,480
2110,336
2111,0
2112,48
2113,192
2114,672
2115,240
2116,150
2117,432
2118,240
2119,0
2120,336
2121,480
2122,216
2123,336
2124,216
2125,288
2126,720
2127,0
2128,48
2129,672
2130,384
2131,312
2132,144
2133,576
2134,384
2135,0
2136,240
2137,192
2138,504
2139,192
2140,0
2141,936
2142,480
2143,0
2144,168
2145,384
2146,336
2147,336
2148,144
2149,336
2150,600
2151,0
2152,120
2153,384
2154,480
2155,288
2156,216
2157,288
2158,240
2159,0
2160,0
2161,432
2162,672
2163,192
2164,120
2165,336
2166,504
2167,0
2168,288
2169,720
2170,192
2171,336
2172,0
2173,240
2174,768
2175,0
2176,48
2177,480
2178,396
2179,168
2180,384
2181,432
2182,264
2183,0
2184,288
2185,288
2186,504
2187,320
2188,72
2189,720
2190,288
2191,0
2192,96
2193,288
2194,384
2195,384
2196,360
2197,336
2198,432
2199,0
2200,168
2201,768
2202,240
2203,120
2204,0
2205,504
2206,384
2207,0
2208,96
2209,294
2210,672
2211,384
2212,96
2213,504
2214,576
2215,0
2216,264
2217,336
2218,312
2219,576
2220,96
2221,216
2222,624
2223,0
2224,72
2225,720
2226,480
2227,144
2228,216
2229,576
2230,240
2231,0
2232,288
2233,192
2234,408
2235,288
2236,0
2237,360
2238,336
2239,0
2240,48
2241,576
2242,192
2243,360
2244,192
2245,384
2246,936
2247,0
2248,96
2249,480
2250,720
2251,168
2252,216
2253,432
2254,432
2255,0
2256,96
2257,288
2258,336
2259,504
2260,144
2261,864
2262,288
2263,0
2264,360
2265,384
2266,432
2267,264
2268,0
2269,360
2270,336
2271,0
2272,48
2273,576
2274,672
2275,240
2276,384
2277,240
2278,288
2279,0
2280,192
2281,240
2282,480
2283,144
2284,120
2285,720
2286,576
2287,0
2288,0
2289,384
2290,240
2291,432
2292,192
2293,168
2294,912
2295,0
2296,192
2297,480
2298,384
2299,264
2300,0
2301,576
2302,192
2303,0
2304,30
2305,288
2306,768
2307,192
2308,96
2309,792
2310,384
2311,0
2312,204
2313,576
2314,336
2315,432
2316,192
2317,288
2318,432
2319,0
2320,96
2321,720
2322,384
2323,192
2324,336
2325,336
2326,264
2327,0
2328,192
2329,384
2330,720
2331,480
2332,0
2333,408
2334,528
2335,0
2336,192
2337,384
2338,288
2339,456
2340,288
2341,360
2342,504
2343,0
2344,216
2345,672
2346,288
2347,120
2348,168
2349,648
2350,480
2351,0
2352,56
2353,192
2354,672
2355,288
2356,192
2357,504
2358,360
2359,0
2360,240
2361,432
2362,312
2363,240
2364,0
2365,384
2366,624
2367,0
2368,24
2369,864
2370,288
2371,312
2372,288
2373,288
2374,264
2375,0
2376,384
2377,192
2378,720
2379,384
2380,96
2381,456
2382,336
2383,0
2384,168
2385,480
2386,384
2387,288
2388,144
2389,408
2390,576
2391,0
2392,96
2393,720
2394,720
2395,192
2396,0
2397,384
2398,240
2399,0
2400,120
2401,390
2402,480
2403,192
2404,240
2405,480
2406,720
2407,0
2408,288
2409,480
2410,192
2411,552
2412,120
2413,288
2414,864
2415,0
2416,0
2417,432
2418,288
2419,192
2420,312
2421,792
2422,240
2423,0
2424,144
2425,336
2426,648
2427,336
2428,0
2429,672
2430,624
2431,0
2432,72
2433,240
2434,384
2435,528
2436,192
2437,216
2438,336
2439,0
2440,144
2441,912
2442,384
2443,144
2444,240
2445,384
2446,336
2447,0
2448,144
2449,480
2450,756
2451,192
2452,120
2453,624
2454,384
2455,0
2456,408
2457,384
2458,216
2459,456
2460,0
2461,432
2462,384
2463,0
2464,96
2465,384
2466,720
2467,168
2468,144
2469,624
2470,384
2471,0
2472,144
2473,240
2474,936
2475,360
2476,120
2477,456
2478,384
2479,0
2480,96
2481,624
2482,288
2483,480
2484,384
2485,288
2486,672
2487,0
2488,144
2489,528
2490,384
2491,288
2492,0
2493,360
2494,240
2495,0
2496,0
2497,336
2498,480
2499,432
2500,150
2501,672
2502,504
2503,0
2504,432
2505,480
2506,384
2507,336
2508,96
2509,336
2510,624
2511,0
2512,72
2513,384
2514,480
2515,144
2516,432
2517,288
2518,360
2519,0
2520,240
2521,384
2522,432
2523,248
2524,0
2525,840
2526,720
2527,0
2528,96
2529,720
2530,288
2531,408
2532,240
2533,192
2534,720
2535,0
2536,168
2537,720
2538,384
2539,264
2540,240
