M,n_modes,gamma,field,seed,sum_T,sum_absT,sum_A,r_cons,Pi_half,A_half,D_a,shell_n,shell_A,shell_absT,shell_sumT,D_b1,D_b2,secs
4,256,1.833333,arith,0,-1.1067535777e-15,3.2962855559e1,1.4042153455e2,3.358e-17,6.4658384716e-1,9.6537602254e1,1.493041e2,134,3.8358137048e1,9.1043423707e0,1.6635945612e-2,4.213169e0,2.305738e3,0.02
5,514,0.000000,random,1,-5.5067062021e-14,5.2301192307e3,6.7668124243e4,1.053e-17,1.3958734947e2,5.8677507772e4,4.203641e2,258,3.4076933406e4,2.7065632889e3,6.5079788974e1,1.259048e1,5.236178e2,0.01
5,514,0.000000,random,2,2.0250467969e-13,4.9652821090e3,6.6362032794e4,4.078e-17,2.4310572889e1,5.7391164862e4,2.360749e3,258,3.2890702476e4,2.6654157151e3,3.3832450378e2,1.233980e1,9.721644e1,0.01
5,514,0.000000,random,3,4.7073456244e-14,4.8104329753e3,6.6835424859e4,9.786e-18,1.7249595215e2,5.7952894080e4,3.359667e2,258,3.3312748669e4,2.4993532183e3,8.6304734255e1,1.332855e1,3.859898e2,0.01
5,514,0.000000,locked_plus,0,-1.5372147999e-12,1.0433645536e3,1.4096887798e5,1.473e-15,-1.3951062527e-12,1.2439077040e5,8.916222e16,258,7.2642571952e4,5.7140252165e2,-2.2271073874e-13,1.271303e2,3.261745e17,0.00
5,514,0.000000,locked_quad,0,7.5317529991e-13,2.5714520658e4,7.7094075653e4,2.929e-17,3.1001992886e2,6.7470564359e4,2.176330e2,258,3.9508765242e4,1.5060434857e4,4.9034501903e2,2.623348e0,8.057340e1,0.00
5,514,0.000000,arith,0,-3.4305891461e-13,3.3270080473e4,1.0430460972e5,1.031e-17,-3.2055850555e1,9.2036005917e4,2.871114e3,258,5.4751194429e4,1.5778559124e4,9.3209457273e0,3.469974e0,5.873996e3,0.00
5,514,1.833333,random,1,-8.0708009720e-16,1.8557434287e1,1.6095441330e2,4.349e-17,5.8186392576e-1,8.9027097979e1,1.530033e2,258,3.4292841946e1,3.8023368860e0,8.6872063610e-2,9.018886e0,3.947511e2,0.00
5,514,1.833333,random,2,3.5475095084e-15,2.2464786918e1,1.6293975635e2,1.579e-16,2.3621462465e-2,8.7482771642e1,3.703529e3,258,3.2998490216e1,3.8291286722e0,2.5410197783e-1,8.617754e0,1.298632e2,0.00
5,514,1.833333,random,3,-1.2576745201e-15,1.8997654119e1,1.6631945330e2,6.620e-17,4.8292976319e-1,8.8182794058e1,1.825996e2,258,3.3602696993e1,3.4427713850e0,2.4117856483e-1,9.760363e0,1.393270e2,0.01
